Time,Open,High,Low,Close,Adj Close,Volume,logClose
1,564.900024,567.900024,559,561.700012,550.992859,16162268,6.330967921
2,560,565.5,556.450012,564.799988,554.033691,12637578,6.336471665
3,564.75,565.75,558,558.900024,548.246216,8993423,6.325970609
4,553.099976,554.950012,545,547.349976,536.916321,11522371,6.305088408
5,547,553.150024,528.450012,530,519.897095,14373729,6.272877007
6,527.650024,532.799988,520,525.400024,515.384766,14750800,6.264159923
7,529.799988,532,515.549988,517.549988,507.684387,11282329,6.249106116
8,518.400024,529.349976,514.299988,524.5,514.501953,20040008,6.262445428
9,528.650024,531.599976,520.099976,529.799988,519.700867,18787379,6.272499554
10,526.599976,526.599976,515,519.200012,509.302979,14275315,6.252289189
11,522,523.450012,516.450012,521.849976,511.902405,29485180,6.257380144
12,522.200012,527,520.099976,521.549988,511.608154,11619538,6.256805124
13,519.400024,521,511.5,512.75,502.975922,22097792,6.239788397
14,514.5,514.950012,503.450012,505.350006,495.71698,14416984,6.22525127
15,507,514.150024,501.549988,510.149994,500.425476,15674218,6.234704788
16,511.450012,511.75,503.850006,508.100006,498.414551,15833599,6.23067829
17,509,518,506.299988,516.5,506.654419,24203789,6.247075289
18,520.650024,524.900024,519.349976,523.75,513.766235,17356345,6.261014471
19,524.75,528.5,522.099976,526.75,516.709045,14210949,6.266726053
20,527,527.599976,519.049988,523,513.030518,13574801,6.259581464
21,524,533.700012,521.650024,527.650024,517.591919,25125879,6.268433231
22,529.25,530.400024,524.400024,526.299988,516.267578,17335453,6.26587137
23,530.849976,535.700012,527.150024,532.099976,521.957031,26414406,6.276831396
24,533.200012,534,526,528.200012,518.131409,21292441,6.269475023
25,529.299988,534.25,527.150024,532.950012,522.790894,28597560,6.278427634
26,528,545,528,544,533.630188,32476990,6.298949247
27,545.349976,548.5,540.5,545.849976,535.444946,22283456,6.302344169
28,544,547.5,538.25,540.299988,530.000732,21156372,6.292124519
29,541.200012,545.450012,536.650024,544.799988,534.414978,25588577,6.300418733
30,545,546.400024,539.700012,543.150024,532.796448,22599418,6.297385569
31,543.799988,555.549988,543.5,554.599976,544.028137,23335611,6.31824709
32,555,567.900024,555,561.799988,551.090881,38142390,6.331145893
33,562,567,556.450012,566.349976,555.554138,23143882,6.339212219
34,565,567.400024,561.099976,564.75,553.98468,17845169,6.336383155
35,567.799988,580.450012,565.5,578.299988,567.276367,16183423,6.360092744
36,580,580.849976,573.150024,575.299988,564.333557,13667511,6.354891623
37,570.650024,575,569,570.5,559.625061,9699527,6.346513169
