Time,Open,High,Low,Close,Adj Close,logClose
1,138.949997,138.949997,128,129.050003,128.84523,4.860199949
2,129.050003,147.149994,129.050003,142.449997,142.223953,4.95899104
3,142,150.949997,136.550003,143.899994,143.671646,4.969118572
4,146,155.449997,132.100006,134.649994,134.436325,4.902678775
5,136.399994,147.449997,134.100006,141.399994,141.175613,4.951592711
6,136.899994,139.350006,127.300003,137.149994,136.932373,4.921075174
7,137.850006,145,133.199997,141.050003,140.826187,4.949114459
8,144.800003,146.399994,134.350006,138.100006,137.880859,4.927978104
9,138.100006,153.600006,138.100006,148.350006,148.114609,4.999574387
10,150,157.899994,146.149994,152.449997,152.208099,5.026836654
11,155.600006,165.449997,141,152.300003,152.058334,5.02585228
12,151.800003,156.850006,142.75,152.699997,152.457703,5.028475193
13,154.5,169.199997,153,162.149994,161.892685,5.088521796
14,161.399994,164.149994,155.25,160,159.746124,5.075173815
15,161.949997,170.649994,158.5,159.699997,159.446594,5.073297036
16,161.449997,162.449997,145.199997,151.600006,151.359451,5.021245513
17,153.149994,172,152.100006,168.75,168.482224,5.12841833
18,168.649994,190.850006,163,175.25,174.971909,5.166213526
19,175.25,195,171.199997,192.899994,192.593887,5.262171889
20,192.899994,204.5,190.199997,196.199997,195.888672,5.279134532
21,197.399994,245.399994,196.050003,233.350006,232.979721,5.452539498
22,236,322.399994,235,288.25,287.792603,5.663828159
23,290,306,270.25,285.149994,284.69751,5.653015337
24,285.149994,307.950012,273.549988,296,295.530273,5.690359454
25,301.799988,304,270,291.549988,291.087341,5.675211477
26,293,296.25,257.5,280.299988,279.855194,5.635860415
27,283.100006,311.950012,282.100006,308.149994,307.661011,5.730586658
28,311.5,335.600006,307.350006,313,312.503326,5.746203191
29,315,325.850006,305.350006,307,306.512817,5.726847748
30,309.899994,327.850006,306,315.450012,314.949463,5.754000229
31,318,347.5,303,339.700012,339.16098,5.82806291
32,339.100006,359.5,333.049988,352.100006,351.54126,5.863915243
33,354,372.850006,351.850006,371.25,370.660889,5.91687569
34,368.600006,404.700012,368.600006,388.299988,387.683838,5.961778206
35,390.100006,415.5,383.100006,398.399994,397.767822,5.987456511
36,398.399994,461.899994,395.100006,445.950012,445.242401,6.100206865
37,446,466.350006,438.049988,449.799988,449.086243,6.108803013
38,451,473.950012,446.549988,455.149994,454.427765,6.120627022
39,454,479.850006,409.649994,473.649994,472.898438,6.16046864
40,473,507,435.75,491.149994,490.370636,6.196749568
41,492,526.599976,484.25,518,517.17804,6.249975242
42,520.599976,541,510.5,527.299988,526.463257,6.267769624
43,528,552.950012,502.049988,526.799988,525.964111,6.266820947
44,530.25,534.400024,501.350006,506.649994,505.846069,6.227820418
45,510.5,611.700012,496.899994,595.349976,594.405273,6.389149428
46,605.400024,724.450012,603.549988,718.950012,717.809204,6.577791831
47,725,831,707.650024,781.900024,780.659302,6.661726886
48,786,862.400024,780.549988,833.650024,832.327148,6.725813679
49,840.75,944.900024,836.450012,909.900024,908.456238,6.81333473
50,918.099976,928.400024,888.700012,894.099976,892.681274,6.795817599
51,898.75,905.400024,840.200012,889.650024,888.238342,6.790828154
52,892.900024,1093,883.450012,988.299988,986.73175,6.895986283
53,988.299988,1116.050049,988,1107.199951,1105.442993,7.009589541
54,1127,1251.599976,1098.849976,1201.400024,1199.493652,7.091242842
55,1177.400024,1192,1051.050049,1159,1157.160889,7.055312843
56,1100,1182.900024,1089,1157.599976,1155.763062,7.054104155
